id,ime,ocena,vstopnina,za_otroke,mesto_id
1,Sprehod po mestnem središču – Ojo de Agua,3,NE,DA,1
2,Kolesarski ogled mesta – Madingou,2,NE,DA,2
3,Ogled lokalne arhitekture – Yueyang,3,DA,DA,3
4,Obisk lokalne tržnice – Bintawan,3,NE,DA,4
5,Fotografski sprehod – Jundiaí,4,NE,NE,5
6,Okušanje lokalne kulinarike – Cachoeiras de Macacu,4,DA,DA,6
7,Družinski ogled mesta – Rio Formoso,5,NE,DA,7
8,Kulturni sprehod – Kamień Pomorski,1,NE,DA,8
9,Sprehod po mestnem središču – Vovchans’k,2,DA,DA,9
10,Kolesarski ogled mesta – Mogadishu,5,NE,NE,10
11,Ogled lokalne arhitekture – Kalianyar Selatan,5,NE,DA,11
12,Obisk lokalne tržnice – Boevange-sur-Attert,2,DA,DA,12
13,Fotografski sprehod – Skaryszew,3,NE,DA,13
14,Okušanje lokalne kulinarike – Linggou,5,NE,DA,14
15,Družinski ogled mesta – Louisville,2,DA,NE,15
16,Kulturni sprehod – Dabola,1,NE,DA,16
17,Sprehod po mestnem središču – Göteborg,3,NE,DA,17
18,Kolesarski ogled mesta – Huambo,4,DA,DA,18
19,Ogled lokalne arhitekture – Culasian,4,NE,DA,19
20,Obisk lokalne tržnice – Zhanping,5,NE,NE,20
21,Fotografski sprehod – Ifakara,2,DA,DA,21
22,Okušanje lokalne kulinarike – Mt Peto,4,NE,DA,22
23,Družinski ogled mesta – Nanger,1,NE,DA,23
24,Kulturni sprehod – Kao Liao,5,DA,DA,24
25,Sprehod po mestnem središču – Kongtian,2,NE,NE,25
26,Kolesarski ogled mesta – Bohutín,1,NE,DA,26
27,Ogled lokalne arhitekture – Santa Cristina Couto,2,DA,DA,27
28,Obisk lokalne tržnice – Youngstown,5,NE,DA,28
29,Fotografski sprehod – Tangdong,4,NE,DA,29
30,Okušanje lokalne kulinarike – Vinnytsya,5,DA,NE,30
31,Družinski ogled mesta – Yayao,2,NE,DA,31
32,Kulturni sprehod – Peixing,3,NE,DA,32
33,Sprehod po mestnem središču – Itacurubí del Rosario,5,DA,DA,33
34,Kolesarski ogled mesta – Grugul,5,NE,DA,34
35,Ogled lokalne arhitekture – Guder Lao,5,NE,NE,35
36,Obisk lokalne tržnice – Siraway,3,DA,DA,36
37,Fotografski sprehod – Tuncheng,1,NE,DA,37
38,Okušanje lokalne kulinarike – Shibi,2,NE,DA,38
39,Družinski ogled mesta – Shibīn al Qanāţir,4,DA,DA,39
40,Kulturni sprehod – Zagnitkiv,3,NE,NE,40
41,Sprehod po mestnem središču – Pueblo Nuevo,4,NE,DA,41
42,Kolesarski ogled mesta – Kronoby,5,DA,DA,42
43,Ogled lokalne arhitekture – Västervik,3,NE,DA,43
44,Obisk lokalne tržnice – Verkh-Usugli,2,NE,DA,44
45,Fotografski sprehod – Pedregal,1,DA,NE,45
