mesto_id,bliznje_mesto_id,razdalja_km
1,952,517.3
1,399,604.9
1,612,815.0
1,583,928.2
399,612,227.0
399,583,323.3
399,952,404.0
399,1,604.9
583,612,158.9
583,399,323.3
583,952,635.1
583,1,928.2
612,583,158.9
612,399,227.0
612,952,608.9
612,1,815.0
665,612,227.0
665,583,323.3
665,952,404.0
665,1,604.9
952,399,404.0
952,1,517.3
952,612,608.9
952,583,635.1
2,879,192.6
879,2,192.6
3,673,120.4
3,552,148.6
3,239,182.2
3,724,205.6
3,382,207.7
14,467,76.4
14,525,98.5
14,125,105.1
14,247,105.1
14,426,106.8
20,713,86.1
20,968,134.5
20,148,143.6
20,383,146.8
20,105,218.5
25,411,59.6
25,303,99.4
25,416,102.0
25,576,121.6
25,505,128.3
29,487,245.0
29,149,246.3
29,574,274.5
29,326,279.5
29,735,299.2
31,213,255.2
31,631,345.1
31,65,366.7
31,70,376.0
31,171,412.8
32,927,8.2
32,129,22.0
32,103,46.6
32,597,59.2
32,131,85.8
37,797,253.7
37,242,313.6
37,549,328.5
37,319,338.3
37,987,432.0
38,305,2.1
38,601,82.6
38,983,196.3
38,794,212.0
38,611,218.7
49,937,92.6
49,681,209.4
49,477,303.0
49,140,316.6
49,955,344.4
50,459,27.0
50,373,77.3
50,882,88.2
50,779,110.8
50,356,118.1
54,125,48.6
54,247,48.6
54,467,84.4
54,917,103.9
54,525,106.8
61,79,33.5
61,576,41.2
61,920,42.8
61,233,50.0
61,307,55.3
65,70,120.9
65,631,179.5
65,188,241.4
65,351,297.6
65,31,366.7
70,65,120.9
70,631,293.0
70,351,343.5
70,188,354.0
70,31,376.0
71,426,107.3
71,525,130.3
71,103,133.8
71,129,143.0
71,917,149.4
79,576,11.1
79,61,33.5
79,416,61.9
79,496,64.2
79,920,73.6
94,650,4.4
94,719,58.8
94,575,158.2
94,523,193.7
94,557,245.6
101,481,10.6
101,680,66.3
101,131,126.3
101,198,127.0
101,779,133.4
103,129,31.9
103,597,40.4
103,32,46.6
103,927,52.8
103,917,69.9
105,968,118.3
105,418,130.0
105,713,204.5
105,20,218.5
105,148,298.3
109,502,49.0
109,966,84.2
109,687,90.1
109,297,106.4
109,140,124.9
113,448,71.2
113,895,74.9
113,639,131.5
113,563,178.1
113,422,187.2
125,467,37.0
125,54,48.6
125,525,83.0
125,917,100.3
125,14,105.1
126,622,205.8
126,473,243.9
126,697,379.6
126,652,452.9
126,674,493.1
129,32,22.0
129,927,24.7
129,103,31.9
129,597,59.4
129,131,90.2
131,198,7.0
131,597,32.0
131,917,67.4
131,103,72.2
131,680,77.1
140,477,13.7
140,955,87.5
140,928,94.3
140,297,123.7
140,109,124.9
148,383,51.2
148,20,143.6
148,713,229.7
148,418,249.0
148,968,259.1
149,326,111.5
149,29,246.3
149,748,246.4
149,319,279.4
149,763,280.7
159,191,192.2
159,572,349.4
159,901,378.5
159,570,460.1
159,322,502.5
166,951,79.8
166,569,160.7
166,518,184.8
166,547,191.0
166,691,225.3
167,608,216.8
167,901,230.1
167,491,255.8
167,570,272.5
167,592,280.6
170,448,71.2
170,895,74.9
170,639,131.5
170,563,178.1
170,422,187.2
171,558,378.8
171,505,405.9
171,31,412.8
171,955,413.5
171,928,417.7
188,631,193.7
188,351,241.4
188,65,241.4
188,70,354.0
188,213,428.8
191,901,190.9
191,159,192.2
191,572,268.7
191,570,305.8
191,167,398.2
197,841,121.8
197,361,128.4
197,237,175.8
197,14,254.9
197,847,258.1
198,131,7.0
198,597,37.2
198,917,65.0
198,103,76.6
198,680,80.8
209,637,185.7
209,779,229.2
209,882,242.9
209,496,257.6
209,79,272.8
211,823,992.4
211,328,1398.9
211,31,1417.5
211,70,1433.2
211,171,1438.4
213,631,250.3
213,31,255.2
213,25,309.2
213,411,317.4
213,505,333.7
222,630,80.2
222,297,103.1
222,687,126.0
222,847,141.6
222,928,166.4
233,920,7.8
233,307,16.9
233,271,21.2
233,830,21.8
233,699,29.1
237,847,82.4
237,841,90.7
237,687,127.1
237,197,175.8
237,109,188.9
239,552,37.7
239,673,94.0
239,382,146.4
239,810,146.6
239,486,147.0
242,319,34.9
242,797,71.9
242,748,173.5
242,326,217.0
242,549,221.0
247,467,37.0
247,54,48.6
247,525,83.0
247,917,100.3
247,14,105.1
251,599,273.2
251,815,368.8
251,572,393.2
251,452,396.8
251,592,419.4
265,724,55.7
265,382,78.9
265,486,80.4
265,810,80.6
265,673,145.4
271,699,8.9
271,830,18.3
271,233,21.2
271,920,21.3
271,307,37.4
297,630,25.7
297,928,86.6
297,222,103.1
297,109,106.4
297,687,108.1
303,416,26.5
303,976,36.3
303,307,47.2
303,233,63.7
303,920,66.8
305,38,2.1
305,601,83.3
305,983,196.7
305,794,210.1
305,611,216.8
307,233,16.9
307,920,21.9
307,976,22.1
307,830,31.5
307,271,37.4
319,242,34.9
319,797,105.7
319,748,140.9
319,326,200.5
319,549,252.7
322,981,430.6
322,622,482.9
322,159,502.5
322,652,503.1
322,455,631.1
326,149,111.5
326,748,136.0
326,319,200.5
326,242,217.0
326,797,275.9
328,380,446.1
328,823,452.6
328,795,500.7
328,377,539.7
328,890,542.3
339,666,52.6
339,518,172.2
339,239,194.0
339,552,231.2
339,673,283.1
344,404,273.8
344,650,314.8
344,94,318.9
344,719,335.6
344,523,395.8
351,188,241.4
351,65,297.6
351,70,343.5
351,631,383.5
351,213,633.7
356,459,91.7
356,574,99.9
356,487,108.0
356,50,118.1
356,373,160.3
361,197,128.4
361,239,230.7
361,552,237.2
361,841,243.6
361,3,244.0
373,882,31.2
373,50,77.3
373,459,85.2
373,763,91.2
373,574,132.5
377,890,2.7
377,439,184.3
377,795,434.7
377,380,443.1
377,328,539.7
380,795,60.5
380,439,332.5
380,377,443.1
380,890,445.4
380,328,446.1
382,810,3.5
382,486,3.7
382,265,78.9
382,673,97.5
382,724,123.8
383,148,51.2
383,20,146.8
383,404,221.8
383,713,230.1
383,968,276.0
404,383,221.8
404,20,250.8
404,148,270.3
404,344,273.8
404,713,278.9
411,25,59.6
411,576,85.1
411,79,95.9
411,416,97.1
411,303,109.7
416,303,26.5
416,307,43.7
416,976,45.9
416,920,56.4
416,233,56.4
418,105,130.0
418,968,209.5
418,20,239.4
418,148,249.0
418,713,270.6
422,639,59.1
422,563,81.9
422,863,110.2
422,448,119.3
422,895,132.9
426,525,25.1
426,917,48.7
426,103,84.2
426,597,97.4
426,14,106.8
439,377,184.3
439,890,185.1
439,795,302.8
439,380,332.5
439,328,587.6
448,895,27.0
448,639,61.3
448,170,71.2
448,563,109.4
448,422,119.3
452,815,76.4
452,674,144.0
452,599,222.6
452,969,239.9
452,697,342.3
455,622,205.8
455,473,243.9
455,697,379.6
455,652,452.9
455,674,493.1
459,50,27.0
459,373,85.2
459,356,91.7
459,882,103.6
459,574,122.8
462,976,108.4
462,830,118.8
462,307,125.8
462,303,128.7
462,995,129.0
467,125,37.0
467,247,37.0
467,14,76.4
467,54,84.4
467,525,93.3
473,455,243.9
473,697,309.4
473,622,441.3
473,969,518.8
473,674,521.9
475,681,312.1
475,937,374.5
475,966,406.3
475,502,442.3
475,49,455.2
477,140,13.7
477,955,92.6
477,928,102.3
477,109,135.9
477,297,137.1
481,101,10.6
481,680,66.8
481,779,123.5
481,131,131.7
481,198,132.9
486,810,0.4
486,382,3.7
486,265,80.4
486,673,100.3
486,724,126.3
487,356,108.0
487,574,110.4
487,735,118.7
487,459,189.9
487,50,216.7
491,592,24.8
491,608,47.4
491,611,82.4
491,794,90.3
491,167,255.8
496,61,57.2
496,79,64.2
496,576,75.2
496,699,88.5
496,920,88.9
502,966,36.4
502,109,49.0
502,687,130.5
502,140,135.7
502,477,143.2
505,558,72.4
505,25,128.3
505,995,153.0
505,303,168.8
505,411,187.8
518,666,166.9
518,339,172.2
518,166,184.8
518,951,198.7
